SiteCode|BSCName|SiteName|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|Swap Status|MBU#|RBU
PED6549|SUK342Z_SUKMGW_1|PED6549__S_Jalal_Jee_Chowk|ZTE|PEDIDAN|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
PED7055|SUK342Z_SUKMGW_1|PED7055__S_GothYousafRajpar|ZTE|PEDIDAN|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
PER7128|HYD133E|PER7128|Ericsson|Peero Lashari|Ericsson OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||#N/A|South
PGB1131|ISB008H__I10_ISB_8|PGB1131__P_BanoraChkPindigheb|Huawei|PINDIGHEB|Huawei OMC|Platinum|Platinum|Macro|North|North I|North 1|EPTSC|R1|11||4|North
PGB1933|ISB008H__I10_ISB_8|PGB1933__S_KHAJURWALA|Huawei|PINDIGHEB|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|11||4|North
PGB2197|ISB008H__I10_ISB_8|PGB2197__S_CIVILCOURTS|Huawei|PINDIGHEB|Huawei OMC|Silver|Silver|Macro|North|North I|North 1|EPTSC|R1|11||4|North
PGK2288|ISB006H__I10_ISB_6|PGK2288__S_Badhyal|Huawei|PINDGARGOKHAN|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
PGK2289|ISB006H__I10_ISB_6|PGK2289__S_PindKargoKhan|Huawei|PINDGARGOKHAN|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
PGK2290|ISB006H__I10_ISB_6|PGK2290__S_Sherwan|Huawei|PINDGARGOKHAN|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|15||14|North
PHA3845|GUJ002H__Ferozeabad_GUJ_2|PHA3845__P_NasjidMuhajreenPhal|Huawei|Mandi Bhudin|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 4|Mobiserve|R1|10||43|Central-I
PHA4057|GUJ002H__Ferozeabad_GUJ_2|PHA4057__H_SheikhanChowkPhalia|Huawei|Mandi Bhudin|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 4|Mobiserve|R1|10||43|Central-I
PHK0073|HYD312H__HYDMGW_2|PHK0073__H_Falkara|Huawei|Falkara|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||78|South
PIS0812|QTA190E|PIS0812|Ericsson|Pishin|Ericsson OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS5442|QTA190E|PIS5442|Ericsson|PISHIN|Ericsson OMC|Platinum|Platinum|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS5443|QTA190E|PIS5443|Ericsson|PISHIN|Ericsson OMC|Hub|Hub|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS6101|QTA190E|PIS6101|Ericsson|PISHIN|Ericsson OMC|Platinum|Platinum|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS6550|QTA190E|PIS6550|Ericsson|PISHIN|Ericsson OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS6724|QTA190E|PIS6724|Ericsson|PISHIN|Ericsson OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS6725|QTA190E|PIS6725|Ericsson|PISHIN|Ericsson OMC|Platinum|Platinum|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS6726|QTA190E|PIS6726|Ericsson|PISHIN|Ericsson OMC|Platinum|Platinum|Macro|South|South II|South 3|CCS|R2|30||70|South
PIS7045|QTA190E|PIS7045|Ericsson|PISHIN|Ericsson OMC|Platinum|Platinum|Macro|South|South II|South 3|CCS|R2|30||70|South
PJT6148|SUK313Z|PJT6148|ZTE|PIRJO GOTH|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|29||65|South
PJT6149|SUK313Z|PJT6149|ZTE|PIRJO GOTH|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||65|South
PJT6162|SUK313Z|PJT6162|ZTE|PIRJO GOTH|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||65|South
PJT6857|SUK313Z|PJT6857|ZTE|PIRJO GOTH|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||65|South
PKA8308|FSD126E|PKA8308|Ericsson|Toba Tek Singh|Ericsson OMC|Hub|Hub|Macro|Center II|Center II|Central 2|EPTSC|R2|23||29|Central-II
PKA8664|FSD126E|PKA8664|Ericsson|Toba Tek Singh|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 2|EPTSC|R2|23||29|Central-II
PKM8469|MUL153E|PKM8469|Ericsson|PAKHIMORE|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||54|Central-I
PKM8470|MUL159E|PKM8470|Ericsson|PAKHIMORE|Ericsson OMC|Silver|Silver|Macro|Center II|Center III|Central 5|Mobiserve|R2|25||54|Central-I
PKP0177|PKP054H__ZiaTown_1|PKP0177__P_KhayabaneFarid_TP|Huawei|Pakpattan|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP3206|PKP054H__ZiaTown_1|PKP3206__H_AlHamraChowkPKP|Huawei|Pakpattan|Huawei OMC|Hub|Hub|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP3629|PKP054H__ZiaTown_1|PKP3629__S_Pirkarian|Huawei|Pakpattan|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP3837|PKP054H__ZiaTown_1|PKP3837__P_MuhallahBasharat|Huawei|Pakpattan|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP3980|PKP054H__ZiaTown_1|PKP3980__S_MhlaFreedNagarDplpr|Huawei|Pakpattan|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP3981|PKP054H__ZiaTown_1|PKP3981__P_McaColaDipuKkhRd|Huawei|Pakpattan|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP4806|PKP054H__ZiaTown_1|PKP4806__P_AlFalahBankPKP|Huawei|Pakpattan|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP7983|PKP054H__ZiaTown_1|PKP7983__P_Jhgran_Wala|Huawei|Pakpattan|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP8366|PKP054H__ZiaTown_1|PKP8366__P_KamirRoad|Huawei|Pakpattan|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PKP8490|PKP054H__ZiaTown_1|PKP8490__S_SahiwalRoad|Huawei|Pakpattan|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||50|Central-I
PLD0457|ISB644H__I-10_Building_ISB_1|PLD0457__S_CadetCollege|Huawei|PALANDARI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|12||11|North
PLD2238|ISB644H__I-10_Building_ISB_1|PLD2238__S_PoliceStation|Huawei|PALANDARI|Huawei OMC|Silver|Silver|Macro|North|North I|North 3|EPTSC|R1|12||11|North
PLN5922|HYD343Z_HYDMGW_1|PLN5922__S_Piara_Lund|ZTE|PIARA LUND|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||72|South
PLN5923|HYD343Z_HYDMGW_1|PLN5923__P_Hadeki|ZTE|PIARA LUND|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||72|South
PLO8672|SHW052H__MGWSHW_7|PLO8672__S_ChistianPetroleumPLO|Huawei|Toba Tek Singh|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 5|Mobiserve|R1|1||53|Central-I
PLR8554|GUJ003H__Ferozeabad_SGD_3|PLR8554__S_RatoKala|Huawei|Sargodha|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 2|Mobiserve|R1|9||33|Central-II
PLR8555|GUJ003H__Ferozeabad_SGD_3|PLR8555__S_PoliceStation|Huawei|Sargodha|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 2|Mobiserve|R1|9||33|Central-II
PLR8556|GUJ003H__Ferozeabad_SGD_3|PLR8556__P_Phularwan|Huawei|Sargodha|Huawei OMC|Platinum|Platinum|Macro|Center I|Center I|Central 2|Mobiserve|R1|9||33|Central-II
PLS7061|HYD343Z_HYDMGW_1|PLS7061__S_PhulShujaMuhammad_UP|ZTE|Phul Shuja Muhammad|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|33||64|South
PMD9665|GUJ001H__Ferozeabad_GUJ_1|PMD9665__S_Pindi_Mandla|Huawei|Sialkot|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||48|Central-I
PMD9666|GUJ001H__Ferozeabad_GUJ_1|PMD9666__S_RomalJuttanSKT|Huawei|Sialkot|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||48|Central-I
PMD9689|GUJ001H__Ferozeabad_GUJ_1|PMD9689__S_KobayChak_PT|Huawei|Sialkot|Huawei OMC|Silver|Silver|Macro|Center I|Center I|Central 4|Mobiserve|R1|9||48|Central-I
PML3516|FSD124E|PML3516|Ericsson|Toba Tek Singh|Ericsson OMC|Silver|Silver|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
PML3517|FSD124E|PML3517|Ericsson|Toba Tek Singh|Ericsson OMC|Platinum|Platinum|Macro|Center II|Center II|Central 5|EPTSC|R2|23||53|Central-I
