SiteCode|BSCName|SiteName|Vendor|Assiciated City Name|OMC|SiteType|Priority|Type|Region|Sub-Region|Comm. Region|OSV|Proposed Region|Zone|Swap Status|MBU#|RBU
HGW0092|HYD343Z_HYDMGW_1|HGW0092__S_Maldasi|ZTE|Highway|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
HGW0200|HYD343Z_HYDMGW_1|HGW0200__P_BHP_Petroleum|ZTE|Dadu|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
HGW0299|HYD312H__HYDMGW_2|HGW0299__S_Thana_Bula_Khan|Huawei|thana bola khan|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW0318|SUK342Z_SUKMGW_1|HGW0318__S_Goth_Noor_M_Malik|ZTE|Shah Pur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW0329|KHI307H__Barq_7|HGW0329_Taj_Goth|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 4|Myson|R2|35||78|South
HGW0333|KHI307H__Barq_7|HGW0333__Sabzi_Mandi|Huawei|KARACHI|Huawei OMC|Hub|Hub|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW0362|KHI307H__Barq_7|HGW0362__P_LOTTE_ICIPTA|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW0366|SUK342Z_SUKMGW_1|HGW0366__H_BehlaniKotriKabir1|ZTE|Kotri Kabeer|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
HGW0370|SUK342Z_SUKMGW_1|HGW0370__H_MaussaniNatHighway|ZTE|Mausani|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW0372|HYD343Z_HYDMGW_1|HGW0372__H_Saeedabad_1|ZTE|Saeedabad|ZTE OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|33||75|South
HGW0450|HYD312H__HYDMGW_2|HGW0450__S_Toll_Plaza_Hyd|Huawei|Jamshoro|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW0451|KHI307H__Barq_7|HGW0451__P_Malir_Cantt|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW0659|KHI301H__Barq_1|HGW0659__S_Hawks_Bay|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|38||59|South
HGW0808|SUK342Z_SUKMGW_1|HGW0808__S_DarbeloTown_TP_2|ZTE|Darbelo|ZTE OMC|Silver|Silver|Macro|South|South I|South 2|CCS|R2|32||64|South
HGW0817|SUK314Z|HGW0817__S_Manjhoshori_NearDeraMuradJamali|ZTE|Highway|ZTE OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|29||71|South
HGW0819|SUK314Z|HGW0819|ZTE|Quetta|ZTE OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||71|South
HGW0820|SUK342Z_SUKMGW_1|HGW0820__S_ModhoKNShah|ZTE|Highway|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|32||73|South
HGW0824|SUK342Z_SUKMGW_1|HGW0824__S_BeethaJatoiMehar|ZTE|Mehar|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|32||73|South
HGW0830|HYD343Z_HYDMGW_1|HGW0830__S_BharoonGothSDP|ZTE|Sangarh|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
HGW0831|HYD343Z_HYDMGW_1|HGW0831__H_HajiMithuKhanMirjat|ZTE|Tando Allah yar|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||72|South
HGW0833|HYD311H__HYDMGW_1|HGW0833__S_Wadda_Misson_Sultanabad|Huawei|Tando Alayaar|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW0834|HYD312H__HYDMGW_2|HGW0834__S_JamaliColonyKadhan|Huawei|Kadhan|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||78|South
HGW0835|HYD343Z_HYDMGW_1|HGW0835__S_SangharSugarMill|ZTE|Sanghar|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
HGW0837|HYD311H__HYDMGW_1|HGW0837__S_City Nabi sar road_kunri|Huawei|Kunri|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW0851|KHI305H__Barq_5|HGW0851__S_Ept_Gulzar_E_Hijri|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW0855|KHI303H__Barq_3|HGW0855__S_Roman_Park_Maymar|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW1000|SUK342Z_SUKMGW_1|HGW1000__S_GirlsHighScLakhaRd_UP|ZTE|Lakha Town|ZTE OMC|Silver|Silver|Macro|South|South I|South 2|CCS|R2|32||64|South
HGW1265|SUK314Z|HGW1265__S_GothKareemSomalani|ZTE|DERA MURAD JAMALI|ZTE OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||71|South
HGW2021|KHI303H__Barq_3|HGW2021__S_Chanesar_Goth_Gadap|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW2022|KHI303H__Barq_3|HGW2022__S_Soomwar_Goth_Gadap|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW2117|HYD312H__HYDMGW_2|HGW2117__S_TandoHyder|Huawei|Shaikh Bhirkio|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW5002|SUK342Z_SUKMGW_1|HGW5002__S_Jakheree|ZTE|Thari Mirwah|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5004|SUK342Z_SUKMGW_1|HGW5004__S_Paneri|ZTE|Thari Mirwah|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5008|KHI305H__Barq_5|HGW5008__Near_Bab-e-Rahmat_Masjid|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5009|KHI307H__Barq_7|HGW5009__S_Highway_Farm|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||61|South
HGW5010|KHI307H__Barq_7|HGW5010__P_Ghagar_Phatak|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5016|HYD343Z_HYDMGW_1|HGW5016__S_GothMalharFakir|ZTE|Kot Lalu Bypass|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|CCS|R2|33||73|South
HGW5026|SUK342Z_SUKMGW_1|HGW5026__S_AkroShahar|ZTE|Kot Lalu Bypass|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5037|KHI307H__Barq_7|HGW5037_Goth_Kathore|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||61|South
HGW5053|KHI301H__Barq_1|HGW5053__S_Hawks_Bay_Beach_Nasir|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|38||59|South
HGW5057|KHI305H__Barq_5|HGW5057_KashanaStGulsh|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5063|SUK342Z_SUKMGW_1|HGW5063__P_PirBuxAradian|ZTE|Chundko|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5069|SUK342Z_SUKMGW_1|HGW5069__S_Deh_Soomar_Wari|ZTE|Chundko|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5074|SUK342Z_SUKMGW_1|HGW5074__S_Khenwari|ZTE|Sanghar|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|32||75|South
HGW5075|SUK342Z_SUKMGW_1|HGW5075__S_Kirir_Aradian|ZTE|Chundko|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5089|KHI307H__Barq_7|HGW5089__S_Pakistan_Steel|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5098|KHI307H__Barq_7|HGW5098__P_Port_Qasim_Trade_Cntr|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5152|SUK313Z|HGW5152__S_Mohammadpur Daher|ZTE|Mirpur Mathelo|ZTE OMC|Silver|Silver|Macro|South|South I|South 2|CCS|R2|29||67|South
HGW5157|HYD343Z_HYDMGW_1|HGW5157__S_Pir_Abo|ZTE|Jamrao head|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
HGW5158|SUK342Z_SUKMGW_1|HGW5158__S_Goth_Odher|ZTE|Thikrato-USF|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5160|SUK342Z_SUKMGW_1|HGW5160__S_DehGadro|ZTE|Salehpat|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5162|SUK342Z_SUKMGW_1|HGW5162__S_Dasht_e_Gonie|ZTE|Salehpat|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5164|SUK313Z|HGW5164__S_Sundrani|ZTE|Ghotki|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW5167|SUK342Z_SUKMGW_1|HGW5167__S_Sutiaro_Chak4_1|ZTE|Yaro Lund|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW5169|SUK342Z_SUKMGW_1|HGW5169__S_Goth_Sahi_Patt|ZTE|Salehpat|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5171|SUK342Z_SUKMGW_1|HGW5171__S_GothAshiqHussain|ZTE|Salehpat|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5172|SUK342Z_SUKMGW_1|HGW5172__S_GothGarharBhoonghar|ZTE|Thikrato-USF|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5174|SUK342Z_SUKMGW_1|HGW5174__P_Taman_Bhambro|ZTE|Sikandarabad|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5175|SUK342Z_SUKMGW_1|HGW5175__S_DhandSimini|ZTE|Chundko|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5180|SUK342Z_SUKMGW_1|HGW5180__S_DehKhenjoo|ZTE|Khenjoo|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW5181|SUK342Z_SUKMGW_1|HGW5181__S_JhumSotario_5|ZTE|Daharki|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW5185|SUK342Z_SUKMGW_1|HGW5185__S_Sahar_khan_Khirai|ZTE|Dad Laghari|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW5186|SUK342Z_SUKMGW_1|HGW5186__S_Kandhlo|ZTE|Sardar Garh|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW5189|SUK342Z_SUKMGW_1|HGW5189__S_Sona_Bindhi|ZTE|Tharu Shah|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
HGW5190|SUK342Z_SUKMGW_1|HGW5190__S_Deh_Suterio|ZTE|Sardar Garh|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW5194|SUK342Z_SUKMGW_1|HGW5194__P_GothMahesar|ZTE|Kandiaro|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
HGW5195|SUK313Z|HGW5195__S_RANWATI|ZTE|Ranwati|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW5198|SUK342Z_SUKMGW_1|HGW5198__S_Goth_HajiTalibHussain|ZTE|Shah Pur|ZTE OMC|Hub|Hub|Macro|South|South II|South 2|CCS|R2|32||67|South
HGW5200|HYD343Z_HYDMGW_1|HGW5200__S_Deh_Junalo|ZTE|Moro|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
HGW5201|KHI307H__Barq_7|HGW5201__P_WT_DOHS_P1_Malir_Cant|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5210|HYD343Z_HYDMGW_1|HGW5210__S_Goth_FatehMuhammad_A|ZTE|Nawabshah|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
HGW5217|HYD343Z_HYDMGW_1|HGW5217__S_Chuk3|ZTE|Nawabshah|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||73|South
HGW5223|KHI305H__Barq_5|HGW5223__P_WT_DOHS_P2_Malir_Cant|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5270|KHI305H__Barq_5|HGW5270_Fast_Uni_Shah_Latif|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5333|HYD312H__HYDMGW_2|HGW5333__H_Hussaini_Masjid_Tando|Huawei|Tando Jam|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW5351|HYD312H__HYDMGW_2|HGW5351__S_S_MattrioKohistanHway|Huawei|thana bola khan|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW5396|KHI303H__Barq_3|HGW5396__S_Abdullah_Gabool_Goth|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW5399|KHI303H__Barq_3|HGW5399__S_GulshaneMaymar4|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW5549|KHI305H__Barq_5|HGW5549_Sindhi_Goth_Pipri|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5573|KHI303H__Barq_3|HGW5573__S_Goth Abdullah|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW5609|KHI301H__Barq_1|HGW5609__S_73_Manora|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|39||59|South
HGW5610|KHI301H__Barq_1|HGW5610__S_91_Hawksbay|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|38||59|South
HGW5611|KHI301H__Barq_1|HGW5611__P_Manora_Residential|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|39||59|South
HGW5676|KHI307H__Barq_7|HGW5676__H_Gharo_City|Huawei|Gharo|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|35||78|South
HGW5677|HYD312H__HYDMGW_2|HGW5677__H_ShellPumpGujoCity|Huawei|Gujjo|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||78|South
HGW5678|HYD312H__HYDMGW_2|HGW5678__S_Jharrak_Thatta|Huawei|Jharrak|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||78|South
HGW5679|HYD312H__HYDMGW_2|HGW5679__S_Kalri|Huawei|Kalri|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||78|South
HGW5681|HYD312H__HYDMGW_2|HGW5681__S_Haji_Hashim_Goth|Huawei|Haji Hashim Goth|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW5876|KHI307H__Barq_7|HGW5876_DhabejiCity|Huawei|Dhabeji|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5908|HYD311H__HYDMGW_1|HGW5908__S_Khanqa_chistia MPK|Huawei|Mirpurkhas|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW5913|HYD312H__HYDMGW_2|HGW5913__H_TandoJamKisanomori|Huawei|Tando Jam|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW5936|HYD312H__HYDMGW_2|HGW5936__P_IsraUnivHalanaka|Huawei|Hyderabad|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW5938|KHI305H__Barq_5|HGW5938_KHI5938__Gulshan-e-Hadeed|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5939|KHI307H__Barq_7|HGW5939__MemonGoth|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5940|KHI307H__Barq_7|HGW5940__SadiTown|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW5950|KHI305H__Barq_5|HGW5950_Bata_Mor_Gulshan-e-Hadeed|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW5987|SUK342Z_SUKMGW_1|HGW5987__P_Kadanwari_OMV|ZTE|Sikandarabad|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW5988|SUK342Z_SUKMGW_1|HGW5988__P_Sawan_OMV|ZTE|Chundko|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW6004|KHI307H__Barq_7|HGW6004_Baqai_University|Huawei|KARACHI|Huawei OMC|Platinum|Platinum|Macro|South|South I|South 1|Myson|R2|36||61|South
HGW6016|SUK313Z|HGW6016__S_RukhFarmGhotki|ZTE|Ghotki|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW6017|SUK313Z|HGW6017__S_GothGhulamabad|ZTE|Highway|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW6019|HYD311H__HYDMGW_1|HGW6019__H_Mirwah|Huawei|Mirwah|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW6020|SUK314Z|HGW6020|ZTE|Sultan Kot|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
HGW6035|SUK342Z_SUKMGW_1|HGW6035__P_RohriBypass|ZTE|Rohri|ZTE OMC|Hub|Hub|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW6036|SUK313Z|HGW6036__H_NationalHiwaySanghi|ZTE|Rohri|ZTE OMC|Hub|Hub|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW6037|SUK313Z|HGW6037__H_Ghotki_MPM_Hiway|ZTE|Ghotki|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW6038|SUK313Z|HGW6038__H_MohammadPur|ZTE|Muhammadpur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW6039|SUK314Z|HGW6039__S_KRM6039__Karam_Pur|ZTE|Kandhkot|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
HGW6041|HYD312H__HYDMGW_2|HGW6041__H_Rahuki_UsmanShah|Huawei|Tando Jam|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW6046|SUK313Z|HGW6046_Naudero_Lakhi_Highway|ZTE|Naudero|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
HGW6070|KHI303H__Barq_3|HGW6070__H_KHI6070ChishtiNagar_orangi|Huawei|KARACHI|Huawei OMC|Hub|Hub|Macro|South|South I|South 1|Myson|R2|38||58|South
HGW6074|KHI303H__Barq_3|HGW6074__S_Hamdard_University|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|36||58|South
HGW6084|QTA315Z_ZTE_BSC_1_LCK|HGW6084|ZTE|QUETTA|ZTE OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||70|South
HGW6095|SUK342Z_SUKMGW_1|HGW6095__P_Qumb_City_Khairpur_1|ZTE|Qumb|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW6105|HYD311H__HYDMGW_1|HGW6105__S_ALA-MKP_Hiway|Huawei|Sultan abad|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW6108|HYD312H__HYDMGW_2|HGW6108__H_HGW6108_TMK-HYDHgw1|Huawei|Tan Mohammad Khan|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW6109|HYD312H__HYDMGW_2|HGW6109__S_HGW6109__TMK_HYD_hiway2|Huawei|Husri|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW6110|HYD312H__HYDMGW_2|HGW6110__H_HGW6110__TGA_MTL_Hiway|Huawei|Digri|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW6111|HYD311H__HYDMGW_1|HGW6111__S_DIG-TGA HIGHWAY|Huawei|Tando Ghulam Ali|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||78|South
HGW6112|HYD343Z_HYDMGW_1|HGW6112__H_Moro_NFZ_Highway|ZTE|Noshehro Feroz|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|CCS|R2|33||73|South
HGW6113|SUK342Z_SUKMGW_1|HGW6113__S_NFZ_KDR_Highway|ZTE|Naushero Feroz|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
HGW6114|SUK342Z_SUKMGW_1|HGW6114__S_KDR_BNI_Highway|ZTE|Knadiaro|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||64|South
HGW6115|HYD311H__HYDMGW_1|HGW6115__H_MIR-MPK Hiway|Huawei|Mirpur Khas|Huawei OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW6116|SUK313Z|HGW6116|ZTE|Daharki|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW6118|QTA190E|HGW6118|Ericsson|QUETTA|Ericsson OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||70|South
HGW6119|QTA190E|HGW6119|Ericsson|QUETTA|Ericsson OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||70|South
HGW6120|QTA190E|HGW6120|Ericsson|QUETTA|Ericsson OMC|Silver|Silver|Macro|South|South II|South 3|CCS|R2|30||70|South
HGW6121|HYD312H__HYDMGW_2|HGW6121__S_Cadet_College_Petaro|Huawei|Jamshoro|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW6128|HYD343Z_HYDMGW_1|HGW6128__H_SBD_SKD_Highway|ZTE|Sakrand|ZTE OMC|Hub|Hub|Macro|South|South II|South 4|Myson|R2|33||73|South
HGW6129|SUK342Z_SUKMGW_1|HGW6129__S_Khairpur_SugarMills|ZTE|Khairpur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW6130|SUK314Z|HGW6130__S_HGW6130__Sasooli_ricemills|ZTE|Khanpur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
HGW6180|SUK342Z_SUKMGW_1|HGW6180__P_Jiskani|ZTE|Khairpur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW6182|SUK342Z_SUKMGW_1|HGW6182__S_VillageJhangoWasan|ZTE|Ranipur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW6184|HYD343Z_HYDMGW_1|HGW6184__P_GothJamalKhanChang_D|ZTE|Highway|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 4|Myson|R2|33||73|South
HGW6236|RYK316Z_ZTE_BSC_1_LCK|HGW6236__S_Shell Warding|ZTE|Highway|ZTE OMC|Silver|Silver|Macro|Center III|South II|South 2|CCS|R2|31||67|South
HGW6266|SUK183E|HGW6266|Ericsson|Jacobabad|Ericsson OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||#N/A|South
HGW6268|HYD312H__HYDMGW_2|HGW6268__S_Jharrak-HydHighway|Huawei|Jharrak|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||78|South
HGW6278|QTA190E|HGW6278|Ericsson|QUETTA|Ericsson OMC|Hub|Hub|Macro|South|South II|South 3|CCS|R2|30||70|South
HGW6285|SUK314Z|HGW6285|ZTE|Shikarpur|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||66|South
HGW6289|RYK316Z_ZTE_BSC_1_LCK|HGW6289__S_Village_Khameso_Chachar|ZTE|Ubaro|ZTE OMC|Silver|Silver|Macro|Center III|South II|South 2|CCS|R2|31||67|South
HGW6296|KHI307H__Barq_7|HGW6296__Bismillah_Service_Station|Huawei|Nooriabad|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|35||78|South
HGW6302|HYD312H__HYDMGW_2|HGW6302__S_GulKhanPetrolium|Huawei|Matiari|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||75|South
HGW6305|HYD312H__HYDMGW_2|HGW6305__S_Jamia_Hamadia|Huawei|Tando Jam|Huawei OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|34||72|South
HGW6308|SUK313Z|HGW6308__S_HalejiSharif|ZTE|Pano Aqil|ZTE OMC|Hub|Hub|Macro|South|South II|South 2|CCS|R2|29||67|South
HGW6310|SUK313Z|HGW6310|ZTE|Bagirji|ZTE OMC|Silver|Silver|Macro|South|South II|South 2|CCS|R2|29||65|South
HGW6311|HYD343Z_HYDMGW_1|HGW6311__H_Khandu_Hala_MRI|ZTE|Hala|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||75|South
HGW6314|HYD312H__HYDMGW_2|HGW6314__P_KhazifaGLTHotel|Huawei|Hyderabad|Huawei OMC|Platinum|Platinum|Macro|South|South II|South 4|Myson|R2|34||74|South
HGW6315|HYD343Z_HYDMGW_1|HGW6315__P_Mansoora_HLA_SBD|ZTE|Saeedabad|ZTE OMC|Silver|Silver|Macro|South|South II|South 4|Myson|R2|33||#N/A|South
HGW6325|SUK342Z_SUKMGW_1|HGW6325__H_MadinaFillingSt|ZTE|Khairpur|ZTE OMC|Hub|Hub|Macro|South|South II|South 2|CCS|R2|32||65|South
HGW6342|KHI305H__Barq_5|HGW6342_KESC_Staff_Colony|Huawei|KARACHI|Huawei OMC|Silver|Silver|Macro|South|South I|South 1|Myson|R2|35||60|South
HGW6356|SUK342Z_SUKMGW_1|HGW6356__P_Halani_2|ZTE|Halani|ZTE OMC|Platinum|Platinum|Macro|South|South II|South 2|CCS|R2|32||64|South
